cycle,visit_id,config_id,altslot_id,slot_id,slotdur,ra,dec,elat,glat,orient,inst,mode,categ,apt_target,apt_tile,apt_config,apt_pointing,apt_exposure
1,01176231001,01176231001_10103,01176231001_10103_04,01176231001_0012,651,177.405080,22.376746,19.428363,75.196320,259.5713531,NIRCam,Imaging,GTO,1,1,3,12,4
1,01176231001,01176231001_10104,01176231001_10104_01,01176231001_0013,651,177.405350,22.375097,19.426973,75.195938,259.5713531,NIRCam,Imaging,GTO,1,1,4,13,1
1,01176231001,01176231001_10104,01176231001_10104_02,01176231001_0014,651,177.407133,22.375346,19.427893,75.197561,259.5713531,NIRCam,Imaging,GTO,1,1,4,14,2
1,01176231001,01176231001_10104,01176231001_10104_03,01176231001_0015,651,177.406863,22.376995,19.429284,75.197943,259.5713531,NIRCam,Imaging,GTO,1,1,4,15,3
1,01176231001,01176231001_10104,01176231001_10104_04,01176231001_0016,651,177.405080,22.376746,19.428363,75.196320,259.5713531,NIRCam,Imaging,GTO,1,1,4,16,4
1,01176241001,01176241001_10101,01176241001_10101_01,01176241001_0001,692,15.764394,-49.268699,-49.975022,-67.746381,21.597302730000024,NIRCam,Imaging,GTO,1,1,1,1,1
1,01176241001,01176241001_10101,01176241001_10101_02,01176241001_0002,661,15.763379,-49.270230,-49.975858,-67.744940,21.597302730000024,NIRCam,Imaging,GTO,1,1,1,2,2
1,01176241001,01176241001_10101,01176241001_10101_03,01176241001_0003,661,15.765725,-49.270892,-49.977301,-67.744101,21.597302730000024,NIRCam,Imaging,GTO,1,1,1,3,3
1,01176241001,01176241001_10101,01176241001_10101_04,01176241001_0004,661,15.766739,-49.269361,-49.976465,-67.745541,21.597302730000024,NIRCam,Imaging,GTO,1,1,1,4,4
1,01176241001,01176241001_10102,01176241001_10102_01,01176241001_0005,692,15.764394,-49.268699,-49.975022,-67.746381,21.597302730000024,NIRCam,Imaging,GTO,1,1,2,5,1
1,01176241001,01176241001_10102,01176241001_10102_02,01176241001_0006,661,15.763379,-49.270230,-49.975858,-67.744940,21.597302730000024,NIRCam,Imaging,GTO,1,1,2,6,2
